action_encoded,discount_pct,confidence,retry_count_so_far,amount_log,is_escalation,hour_of_day,is_weekend,channel_encoded,is_anomaly
2,0.0,0.88,0,11.680209,0,9,0,2,0
2,0.0,0.85,1,9.324508,0,14,1,0,0
2,0.0,0.85,1,10.914577,0,9,0,2,0
0,0.0,0.85,1,12.235253,0,17,0,1,0
1,5.0,0.79,3,9.625585,0,13,1,1,0
1,5.0,0.7,6,13.005092,0,3,0,1,0
0,0.0,0.85,1,11.349247,0,18,0,1,0
0,0.0,0.85,1,10.289806,0,17,0,0,0
2,0.0,0.88,0,11.250305,0,19,0,1,0
2,0.0,0.85,1,8.888526,0,14,0,0,0
1,5.0,0.7,6,10.534214,0,9,0,2,0
2,0.0,0.88,0,7.572421,0,13,1,3,0
2,0.0,0.85,1,9.19404,0,11,0,0,0
3,0.0,0.85,1,11.34238,1,22,1,1,0
0,0.0,0.85,1,12.069066,0,20,0,1,0
0,0.0,0.85,1,11.342994,0,7,0,1,0
1,5.0,0.65,11,9.830245,0,15,0,3,0
1,5.0,0.79,3,10.252872,0,11,0,1,0
1,5.0,0.65,11,11.618043,0,10,0,0,0
1,5.0,0.82,2,11.838569,0,19,0,1,0
3,0.0,0.88,0,13.564196,1,0,0,2,0
1,5.0,0.73,5,9.987859,0,22,0,0,0
0,0.0,0.85,1,12.007308,0,11,0,1,0
2,0.0,0.88,0,12.46391,0,9,0,2,0
3,0.0,0.85,1,12.529341,1,10,1,2,0
0,0.0,0.88,0,11.676633,0,16,0,2,0
0,0.0,0.88,0,12.574586,0,23,0,1,0
0,0.0,0.85,1,9.987163,0,7,0,2,0
2,0.0,0.85,1,10.316122,0,1,0,1,0
1,5.0,0.73,5,13.258146,0,16,0,1,0
3,0.0,0.88,0,12.433622,1,9,0,0,0
0,0.0,0.85,1,10.235226,0,2,0,0,0
1,5.0,0.82,2,10.33183,0,11,1,0,0
2,0.0,0.88,0,9.388152,0,11,0,1,0
3,0.0,0.85,1,10.321888,1,1,0,0,0
1,5.0,0.65,8,11.909537,0,13,0,1,0
0,0.0,0.85,1,10.69689,0,21,0,2,0
0,0.0,0.85,1,8.915859,0,3,0,3,0
1,5.0,0.7,6,10.227633,0,14,0,0,0
1,5.0,0.82,2,8.833933,0,10,0,3,0
1,5.0,0.79,3,10.605066,0,9,0,1,0
1,5.0,0.82,2,8.345033,0,13,0,0,0
1,5.0,0.79,3,10.228443,0,20,0,2,0
3,0.0,0.85,1,13.296191,1,1,0,2,0
3,0.0,0.88,0,13.720529,1,20,0,2,0
2,0.0,0.88,0,9.901892,0,14,0,1,0
1,5.0,0.79,3,10.056663,0,11,0,1,0
2,0.0,0.85,1,6.871807,0,7,0,0,0
3,0.0,0.88,0,9.221704,1,0,0,3,0
1,5.0,0.76,4,11.361834,0,23,1,0,0
1,5.0,0.73,5,11.136563,0,12,0,1,0
2,0.0,0.85,1,8.317908,0,14,0,0,0
2,0.0,0.88,0,12.164418,0,14,0,2,0
1,5.0,0.73,5,13.190124,0,8,0,2,0
0,0.0,0.85,1,10.853603,0,12,1,0,0
2,0.0,0.88,0,8.505183,0,8,0,3,0
2,0.0,0.88,0,10.560761,0,10,0,2,0
1,5.0,0.76,4,8.945987,0,13,0,0,0
2,0.0,0.88,0,10.03185,0,9,0,2,0
1,5.0,0.79,3,10.018475,0,19,0,0,0
1,5.0,0.65,10,8.678184,0,16,0,3,0
3,0.0,0.85,1,11.79794,1,0,0,2,0
1,5.0,0.79,3,10.555725,0,12,1,1,0
3,0.0,0.88,0,11.725189,1,1,0,0,0
1,5.0,0.79,3,11.231652,0,10,0,1,0
1,5.0,0.79,3,8.595355,0,18,0,0,0
1,5.0,0.82,2,10.510415,0,18,0,2,0
0,0.0,0.85,1,12.173538,0,21,0,1,0
2,0.0,0.88,0,8.623898,0,11,0,2,0
2,0.0,0.88,0,7.024222,0,10,1,0,0
1,5.0,0.79,3,12.319435,0,20,0,1,0
2,0.0,0.85,1,11.838073,0,16,0,2,0
2,0.0,0.85,1,9.127287,0,12,1,0,0
1,5.0,0.82,2,10.934934,0,20,1,1,0
1,5.0,0.82,2,11.223982,0,16,0,1,0
0,49.7,0.0804,2,13.485427,0,15,0,2,1
2,0.0,0.85,1,8.294565,0,15,1,0,0
1,5.0,0.76,4,7.656838,0,13,0,1,0
1,5.0,0.82,2,9.306497,0,18,0,2,0
3,0.0,0.88,0,11.566733,1,8,0,1,0
2,0.0,0.88,0,9.360395,0,21,0,0,0
2,0.0,0.88,0,11.290234,0,10,0,1,0
2,0.0,0.85,1,10.59521,0,15,0,1,0
1,5.0,0.82,2,12.346478,0,11,0,1,0
0,0.0,0.85,1,11.98857,0,20,0,1,0
2,0.0,0.88,0,7.402695,0,13,0,1,0
3,0.0,0.88,0,9.863115,1,7,0,3,0
1,5.0,0.79,3,7.929217,0,12,1,0,0
0,52.7,0.2009,10,8.170519,0,12,0,3,1
1,5.0,0.7,6,12.885218,0,14,0,2,0
2,0.0,0.85,1,10.394592,0,9,0,2,0
1,5.0,0.79,3,10.644467,0,1,0,0,0
1,5.0,0.79,3,12.906113,0,15,0,1,0
2,0.0,0.82,2,9.657222,0,11,0,0,0
1,5.0,0.7,6,13.049821,0,12,0,1,0
1,5.0,0.82,2,10.662792,0,18,0,2,0
2,0.0,0.85,1,11.418586,0,11,0,1,0
2,0.0,0.88,0,9.595165,0,11,0,0,0
3,0.0,0.88,0,12.165384,1,8,1,1,0
2,0.0,0.88,0,9.411559,0,12,0,0,0
0,0.0,0.85,1,12.316236,0,15,0,1,0
1,5.0,0.79,3,12.10544,0,21,0,1,0
1,5.0,0.82,2,10.953387,0,0,0,0,0
2,0.0,0.88,0,9.052454,0,13,0,1,0
1,5.0,0.82,2,10.678416,0,13,0,1,0
2,0.0,0.73,5,8.921955,0,14,0,1,0
2,0.0,0.85,1,10.612839,0,17,0,2,0
3,0.0,0.85,1,10.88186,1,3,0,1,0
2,0.0,0.88,0,10.756262,0,13,1,1,0
2,0.0,0.85,1,7.719543,0,16,1,0,0
3,0.0,0.85,1,12.658284,1,21,0,1,0
2,0.0,0.85,1,11.796697,0,12,0,2,0
1,5.0,0.7,6,11.326514,0,10,1,1,0
1,5.0,0.82,2,10.944304,0,14,1,0,0
0,53.1,0.2361,0,8.621544,0,1,1,0,1
1,5.0,0.7,6,11.43043,0,12,0,0,0
3,0.0,0.85,1,12.399828,1,3,0,1,0
0,0.0,0.85,1,7.837464,0,10,0,2,0
1,5.0,0.76,4,12.609694,0,12,1,1,0
1,5.0,0.76,4,9.107674,0,14,0,2,0
2,0.0,0.88,0,10.561245,0,13,0,1,0
1,5.0,0.79,3,12.43295,0,15,0,1,0
1,5.0,0.65,9,9.654872,0,18,1,2,0
0,0.0,0.85,1,9.38666,0,22,0,1,0
2,0.0,0.85,1,12.956223,0,12,0,3,0
1,5.0,0.73,5,9.894461,0,13,1,3,0
2,0.0,0.85,1,11.666079,0,12,0,2,0
1,5.0,0.65,12,11.707915,0,13,0,2,0
1,5.0,0.67,7,11.321455,0,14,0,0,0
0,0.0,0.85,1,11.136344,0,13,1,1,0
0,0.0,0.85,1,10.054512,0,11,1,2,0
3,0.0,0.88,0,8.629133,1,0,0,1,0
3,0.0,0.85,1,12.606352,1,12,0,1,0
2,0.0,0.88,0,10.459756,0,12,1,1,0
2,0.0,0.88,0,7.640633,0,10,1,0,0
2,0.0,0.88,0,6.653431,0,12,0,1,0
2,0.0,0.88,0,7.153849,0,12,1,0,0
1,5.0,0.79,3,10.104764,0,8,0,1,0
0,0.0,0.85,1,11.329416,0,13,0,0,0
0,0.0,0.88,0,10.693552,0,14,0,0,0
1,5.0,0.7,6,10.641797,0,11,0,0,0
2,0.0,0.88,0,8.976622,0,18,1,0,0
1,5.0,0.73,5,9.317967,0,0,0,3,0
1,5.0,0.73,5,11.080532,0,14,1,1,0
2,0.0,0.85,1,6.410964,0,11,0,0,0
1,5.0,0.79,3,9.833309,0,18,0,2,0
1,5.0,0.82,2,9.679211,0,15,1,1,0
1,5.0,0.79,3,11.681047,0,4,0,1,0
1,5.0,0.76,4,9.464216,0,16,1,0,0
0,0.0,0.85,1,11.540298,0,19,0,1,0
1,5.0,0.82,2,8.063929,0,23,0,0,0
1,5.0,0.82,2,13.792405,0,10,0,2,0
2,0.0,0.88,0,12.178459,0,14,1,2,0
0,0.0,0.85,1,8.971658,0,20,1,0,0
1,5.0,0.73,5,10.987764,0,22,1,0,0
1,5.0,0.82,2,9.213043,0,12,0,1,0
1,5.0,0.73,5,10.088781,0,22,1,0,0
2,0.0,0.85,1,9.28896,0,15,0,0,0
2,0.0,0.85,1,9.337772,0,19,0,1,0
1,5.0,0.82,2,9.496615,0,12,0,0,0
2,0.0,0.85,1,8.722328,0,11,1,0,0
1,5.0,0.79,3,12.550352,0,12,1,1,0
1,5.0,0.7,6,13.101379,0,18,1,2,0
1,5.0,0.7,6,10.922408,0,1,0,0,0
2,0.0,0.88,0,8.88778,0,0,1,1,0
2,0.0,0.88,0,11.246133,0,17,0,1,0
1,5.0,0.76,4,10.463674,0,22,0,1,0
1,5.0,0.7,6,11.207833,0,13,0,2,0
2,0.0,0.85,1,7.776757,0,14,0,3,0
2,0.0,0.85,1,10.991885,0,11,0,1,0
0,0.0,0.85,1,12.430496,0,18,1,2,0
0,0.0,0.85,1,11.529376,0,12,1,0,0
1,5.0,0.82,2,11.668575,0,11,0,2,0
3,0.0,0.85,1,12.69211,1,10,0,1,0
1,5.0,0.82,2,10.068797,0,21,1,1,0
1,5.0,0.7,6,12.871471,0,11,0,2,0
1,5.0,0.73,5,9.872422,0,16,0,3,0
3,0.0,0.85,1,11.478054,1,19,0,1,0
1,5.0,0.79,3,11.315755,0,0,0,1,0
1,5.0,0.76,4,12.883478,0,10,1,1,0
2,0.0,0.85,1,11.414647,0,19,0,2,0
2,0.0,0.88,0,8.503859,0,16,0,0,0
2,0.0,0.85,1,8.324484,0,15,0,0,0
1,5.0,0.82,2,10.327218,0,21,0,2,0
2,0.0,0.88,0,10.899312,0,13,0,1,0
2,0.0,0.88,0,8.444775,0,11,0,0,0
2,0.0,0.88,0,7.838103,0,11,0,0,0
1,5.0,0.76,4,12.947032,0,14,1,1,0
1,5.0,0.82,2,13.457482,0,11,0,2,0
1,5.0,0.82,2,4.242046,0,17,0,2,0
1,5.0,0.76,4,12.836615,0,1,1,1,0
1,5.0,0.65,10,12.687158,0,10,0,2,0
1,5.0,0.73,5,11.171067,0,8,1,0,0
2,0.0,0.85,1,10.696707,0,16,0,1,0
0,0.0,0.88,0,9.702174,0,17,0,0,0
2,0.0,0.88,0,6.291884,0,7,0,0,0
1,79.2,0.0577,1,3.135929,0,0,1,1,1
3,0.0,0.85,1,11.2735,1,1,1,0,0
3,0.0,0.85,1,12.54526,1,17,0,1,0
1,5.0,0.7,6,13.469271,0,13,0,2,0
1,5.0,0.79,3,10.470118,0,15,0,0,0
1,5.0,0.79,3,9.298899,0,19,1,3,0
1,5.0,0.79,3,10.363868,0,16,1,1,0
3,0.0,0.85,1,10.225348,1,23,0,0,0
3,0.0,0.85,1,11.241448,1,1,0,0,0
1,5.0,0.79,3,11.21311,0,12,1,1,0
1,5.0,0.67,7,13.533741,0,15,0,2,0
0,0.0,0.85,1,12.14896,0,14,1,1,0
0,0.0,0.85,1,10.693894,0,23,1,0,0
1,5.0,0.79,3,10.955247,0,19,0,1,0
2,0.0,0.85,1,11.813562,0,17,1,2,0
0,51.1,0.128,0,3.600868,0,4,0,2,1
1,5.0,0.67,7,13.259394,0,16,1,2,0
1,5.0,0.76,4,11.475598,0,10,0,1,0
0,0.0,0.85,1,8.532036,0,13,0,0,0
3,0.0,0.85,1,12.088685,1,11,1,1,0
0,71.9,0.0955,2,9.612093,0,0,0,0,1
2,0.0,0.88,0,9.7209,0,13,0,0,0
1,5.0,0.73,5,12.523145,0,12,1,1,0
1,5.0,0.79,3,12.546317,0,15,0,1,0
1,5.0,0.76,4,9.397633,0,1,0,0,0
2,0.0,0.88,0,7.612698,0,13,0,3,0
2,0.0,0.88,0,6.187894,0,14,0,0,0
0,0.0,0.85,1,7.754987,0,16,1,2,0
2,0.0,0.85,1,7.731733,0,11,0,0,0
2,0.0,0.88,0,12.019159,0,9,1,2,0
2,0.0,0.85,1,12.211619,0,15,1,2,0
2,0.0,0.85,1,9.297078,0,16,1,0,0
2,0.0,0.88,0,11.654091,0,2,1,2,0
1,5.0,0.82,2,11.264757,0,13,0,1,0
2,0.0,0.85,1,8.556506,0,16,0,3,0
0,0.0,0.85,1,11.223699,0,5,1,0,0
0,0.0,0.85,1,11.088372,0,12,0,0,0
3,0.0,0.88,0,13.568778,1,0,0,2,0
1,5.0,0.7,6,9.267746,0,12,1,0,0
0,0.0,0.85,1,10.397678,0,17,1,1,0
2,0.0,0.85,1,10.275487,0,17,0,1,0
1,5.0,0.76,4,8.299656,0,14,1,0,0
1,5.0,0.79,3,14.223472,0,15,0,2,0
1,5.0,0.79,3,11.301762,0,20,1,1,0
1,5.0,0.79,3,11.477115,0,20,0,1,0
1,5.0,0.76,4,9.872649,0,9,1,1,0
1,5.0,0.82,2,10.486106,0,22,0,2,0
2,0.0,0.88,0,7.557828,0,9,0,0,0
3,0.0,0.88,0,9.89784,1,11,0,3,0
1,5.0,0.73,5,11.631352,0,14,0,0,0
1,5.0,0.82,2,10.410657,0,20,1,2,0
0,0.0,0.85,1,7.085667,0,21,0,0,0
1,5.0,0.7,6,9.917002,0,23,0,3,0
0,0.0,0.85,1,8.427096,0,12,0,3,0
1,5.0,0.79,3,11.249561,0,18,0,0,0
1,5.0,0.82,2,11.561117,0,18,0,1,0
2,0.0,0.85,1,9.7168,0,11,1,1,0
1,5.0,0.76,4,12.58757,0,14,0,1,0
3,0.0,0.88,0,12.65549,1,23,0,1,0
1,5.0,0.79,3,10.191034,0,19,0,3,0
2,0.0,0.85,1,9.296645,0,16,0,0,0
1,5.0,0.82,2,10.25965,0,14,0,1,0
1,5.0,0.79,3,10.748199,0,10,0,2,0
2,0.0,0.88,0,11.107293,0,10,0,2,0
1,5.0,0.79,3,7.577746,0,19,1,1,0
1,5.0,0.65,10,13.137555,0,0,0,1,0
2,0.0,0.88,0,6.476403,0,9,1,0,0
2,0.0,0.85,1,9.414525,0,11,1,0,0
1,5.0,0.82,2,9.566671,0,20,0,2,0
2,0.0,0.85,1,7.512262,0,10,0,0,0
3,0.0,0.88,0,12.868299,1,21,0,1,0
2,0.0,0.88,0,7.995698,0,10,0,0,0
2,0.0,0.85,1,6.781557,0,9,0,0,0
1,5.0,0.73,5,12.475729,0,20,1,1,0
0,0.0,0.85,1,11.452245,0,11,0,0,0
1,5.0,0.73,5,8.205481,0,23,0,3,0
2,0.0,0.88,0,8.892806,0,18,0,1,0
3,0.0,0.88,0,12.792904,1,15,1,1,0
2,0.0,0.88,0,9.830431,0,14,0,1,0
2,0.0,0.85,1,9.737139,0,11,0,0,0
2,0.0,0.88,0,10.50772,0,16,1,1,0
0,0.0,0.85,1,12.260265,0,22,0,1,0
1,5.0,0.82,2,13.003672,0,13,0,1,0
1,5.0,0.82,2,14.340287,0,19,0,2,0
0,0.0,0.85,1,9.470751,0,2,0,2,0
1,5.0,0.73,5,13.301835,0,13,0,2,0
2,0.0,0.85,1,9.080997,0,11,1,0,0
2,0.0,0.88,0,10.502583,0,1,0,1,0
0,0.0,0.88,0,12.582413,0,1,0,2,0
2,0.0,0.85,1,10.210049,0,10,0,0,0
1,5.0,0.79,3,11.049784,0,7,0,1,0
1,5.0,0.76,4,11.258294,0,20,0,0,0
1,5.0,0.82,2,8.261028,0,19,0,1,0
1,5.0,0.82,2,12.768571,0,2,1,2,0
0,0.0,0.85,1,10.210616,0,19,0,1,0
3,0.0,0.88,0,5.816129,1,0,0,3,0
2,0.0,0.88,0,4.770091,0,10,0,0,0
2,0.0,0.85,1,10.728299,0,11,1,1,0
1,5.0,0.79,3,8.912141,0,13,0,2,0
